Date	Vehicle No	Trip No	Package No	Is Duplicate	Created At
25/12/2025	TN33BE1803	1	521	No	2025-12-27T08:50:11.134Z
25/12/2025	TN33BE1803	1	166	No	2025-12-27T08:50:11.435Z
25/12/2025	TN33BE1803	1	618	No	2025-12-27T08:50:11.734Z
25/12/2025	TN33BE1803	1	606	No	2025-12-27T08:50:12.033Z
25/12/2025	TN33BE1803	1	588	No	2025-12-27T08:50:12.343Z
25/12/2025	TN33BE1803	1	153	No	2025-12-27T08:50:12.650Z
25/12/2025	TN33BE1803	1	608	No	2025-12-27T08:50:12.977Z
25/12/2025	TN33BE1803	1	517	No	2025-12-27T08:50:13.338Z
25/12/2025	TN33BE1803	1	519	No	2025-12-27T08:50:13.640Z
25/12/2025	TN33BE1803	1	619	No	2025-12-27T08:50:13.942Z
25/12/2025	TN33BE1803	1	604	No	2025-12-27T08:50:14.245Z
25/12/2025	TN33BE1803	1	614	No	2025-12-27T08:50:14.558Z
25/12/2025	TN33BE1803	1	534	No	2025-12-27T08:50:14.854Z
25/12/2025	TN33BE1803	1	177	No	2025-12-27T08:50:15.159Z
25/12/2025	TN33BE1803	1	585	No	2025-12-27T08:50:15.460Z
25/12/2025	TN33BE1803	1	575	No	2025-12-27T08:50:15.764Z
25/12/2025	TN33BE1803	1	716	No	2025-12-27T08:50:16.065Z
25/12/2025	TN33BE1803	1	154	No	2025-12-27T08:50:16.368Z
25/12/2025	TN33BE1803	1	801	No	2025-12-27T08:50:16.681Z
25/12/2025	TN33BE1803	1	616	No	2025-12-27T08:50:16.995Z
25/12/2025	TN33BE1803	1	505	No	2025-12-27T08:50:17.293Z
25/12/2025	TN33BE1803	1	577	No	2025-12-27T08:50:17.604Z
25/12/2025	TN33BE1803	1	531	No	2025-12-27T08:50:17.909Z
25/12/2025	TN33BE1803	1	699	No	2025-12-27T08:50:18.209Z
25/12/2025	TN33BE1803	1	183	No	2025-12-27T08:50:18.698Z
25/12/2025	TN33BE1803	1	173	No	2025-12-27T08:50:19.007Z
25/12/2025	TN33BE1803	1	584	No	2025-12-27T08:50:19.306Z
25/12/2025	TN33BE1803	1	698	No	2025-12-27T08:50:19.607Z
25/12/2025	TN33BE1803	1	500	No	2025-12-27T08:50:19.907Z
25/12/2025	TN33BE1803	1	576	No	2025-12-27T08:50:20.209Z
25/12/2025	TN33BE1803	1	599	No	2025-12-27T08:50:20.509Z
25/12/2025	TN33BE1803	1	613	No	2025-12-27T08:50:21.102Z
25/12/2025	TN33BE1803	1	159	No	2025-12-27T08:50:21.411Z
25/12/2025	TN33BE1803	1	152	No	2025-12-27T08:50:21.712Z
25/12/2025	TN33BE1803	1	583	No	2025-12-27T08:50:22.039Z
25/12/2025	TN33BE1803	1	621	No	2025-12-27T08:50:22.338Z
25/12/2025	TN33BE1803	1	160	No	2025-12-27T08:50:22.652Z
25/12/2025	TN33BE1803	1	622	No	2025-12-27T08:50:22.970Z
25/12/2025	TN33BE1803	1	607	No	2025-12-27T08:50:23.278Z
25/12/2025	TN33BE1803	1	598	No	2025-12-27T08:50:23.578Z
25/12/2025	TN33BE1803	1	516	No	2025-12-27T08:50:23.881Z
25/12/2025	TN33BE1803	1	155	No	2025-12-27T08:50:24.185Z
25/12/2025	TN33BE1803	1	615	No	2025-12-27T08:50:24.484Z
25/12/2025	TN33BE1803	1	589	No	2025-12-27T08:50:24.965Z
25/12/2025	TN33BE1803	1	182	No	2025-12-27T08:50:25.347Z
25/12/2025	TN33BE1803	1	501	No	2025-12-27T08:50:25.646Z
25/12/2025	TN33BE1803	1	597	No	2025-12-27T08:50:25.948Z
25/12/2025	TN33BE1803	1	580	No	2025-12-27T08:50:26.247Z
25/12/2025	TN33BE1803	1	168	No	2025-12-27T08:50:26.555Z
25/12/2025	TN33BE1803	1	578	No	2025-12-27T08:50:26.865Z
25/12/2025	TN33BE1803	1	527	No	2025-12-27T08:50:27.167Z
25/12/2025	TN33BE1803	1	612	No	2025-12-27T08:50:27.480Z
25/12/2025	TN33BE1803	1	184	No	2025-12-27T08:50:27.780Z
25/12/2025	TN33BE1803	1	157	No	2025-12-27T08:50:28.089Z
25/12/2025	TN33BE1803	1	602	No	2025-12-27T08:50:28.388Z
25/12/2025	TN33BE1803	1	533	No	2025-12-27T08:50:28.687Z
25/12/2025	TN33BE1803	1	495	No	2025-12-27T08:50:28.992Z
25/12/2025	TN33BE1803	1	496	No	2025-12-27T08:50:29.306Z
25/12/2025	TN33BE1803	1	610	No	2025-12-27T08:50:29.631Z
25/12/2025	TN33BE1803	1	592	No	2025-12-27T08:50:29.933Z
25/12/2025	TN33BE1803	1	174	No	2025-12-27T08:50:30.232Z
25/12/2025	TN33BE1803	1	158	No	2025-12-27T08:50:30.532Z
25/12/2025	TN33BE1803	1	805	No	2025-12-27T08:50:30.838Z
25/12/2025	TN33BE1803	1	590	No	2025-12-27T08:50:31.136Z
25/12/2025	TN33BE1803	1	181	No	2025-12-27T08:50:31.437Z
25/12/2025	TN33BE1803	1	579	No	2025-12-27T08:50:31.734Z
25/12/2025	TN33BE1803	1	605	No	2025-12-27T08:50:32.042Z
25/12/2025	TN33BE1803	1	591	No	2025-12-27T08:50:32.348Z
25/12/2025	TN33BE1803	1	172	No	2025-12-27T08:50:32.650Z
25/12/2025	TN33BE1803	1	518	No	2025-12-27T08:50:32.951Z
25/12/2025	TN33BE1803	1	162	No	2025-12-27T08:50:33.253Z
25/12/2025	TN33BE1803	1	497	No	2025-12-27T08:50:33.563Z
25/12/2025	TN33BE1803	1	161	No	2025-12-27T08:50:33.878Z
25/12/2025	TN33BE1803	1	170	No	2025-12-27T08:50:34.191Z
25/12/2025	TN33BE1803	1	180	No	2025-12-27T08:50:34.497Z
25/12/2025	TN59AT0877	2	546	No	2025-12-27T09:00:18.985Z
25/12/2025	TN59AT0877	2	478	No	2025-12-27T09:00:20.873Z
